Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP
Mitsubishi,Lancer,320,1999,Benzine,Automatic,1300,Sedan,"EGP 265,000"
Nissan,Sunny,70000,2017,Benzine,Automatic,1500,Sedan,"EGP 465,000"
Speranza,A113,128000,2011,Benzine,Manual,1300,Hatchback,"EGP 220,000"
Peugeot,206,325000,2004,Benzine,Automatic,1600,Sedan,"EGP 325,000"
BMW,320,115000,2020,Benzine,Automatic,2000,Sedan,"EGP 1,875,000"
Toyota,Corolla,112000,2018,Benzine,Automatic,1600,Sedan,"EGP 820,000"
Audi,A5,64000,2024,Benzine,Automatic,2000,Sedan,"EGP 2,700,000"
Audi,A4,102000,2019,Benzine,Automatic,1400,Sedan,"EGP 1,350,000"
Skoda,Octavia,98000,2021,Benzine,Automatic,,Sedan,"EGP 1,200,000"
Peugeot,408,10000,2025,Benzine,Automatic,,Estate,"EGP 2,025,000"
Mercedes-Benz,E180,65000,2018,Benzine,Automatic,2000,Sedan,"EGP 2,380,000"
Seat,Ibiza,56000,2021,Benzine,Automatic,1600,Hatchback,"EGP 870,000"
Renault,Sandero,200000,2014,Benzine,Manual,1600,Hatchback,"EGP 340,000"
Geely,Emgrand 7,25000,2013,Benzine,Manual,1500,Sedan,"EGP 250,000"
Mercedes-Benz,C200,35000,2023,Benzine,Automatic,,Convertible,"EGP 3,100,000"
Kia,Xceed,74000,2022,Benzine,Automatic,,,"EGP 1,150"
Hyundai,Excel,100000,1994,Benzine,Manual,1300,Sedan,"EGP 150,000"
Opel,Astra,200000,2004,Benzine,Automatic,,Sedan,"EGP 240,000"
Jaguar,XE,88000,2021,Benzine,Automatic,,Sedan,"EGP 2,450,000"
Audi,A3,140000,2020,Benzine,Automatic,1000,Sedan,"EGP 1,200,000"
Fiat,127,1,1986,Benzine,Manual,,,"EGP 45,000"
Suzuki,Alto,80000,2020,Benzine,Manual,800,Hatchback,"EGP 325,000"
Mercedes-Benz,S400,70000,2015,Hybrid,Automatic,3500,Sedan,"EGP 3,800,000"
BMW,X5,139000,2020,Benzine,Automatic,3000,SUV,"EGP 3,500,000"
Volvo,XC40,200,2021,Benzine,Automatic,2000,SUV,"EGP 1,380,000"
Mercedes-Benz,C180,146000,2020,Benzine,Automatic,1500,Sedan,"EGP 2,075,000"
